#Chromosome	End	OMIM	Start
7	98400000	183600	91500000
16	50733076	605956	50693586
19	2456958	150341	2428165
1	155100000	139450	150600000
1	109693744	138350	109687816
21	33437520	147569	33402895
1	1014539	147571	1013496
13	20232394	604418	20221961
7	159345973	252270	60100000
6	10600000	119530	7100000
8	145138636	140300	105100000
8	145138636	220200	105100000
8	145138636	222100	105100000
10	17300000	609888	12200000
3	54400000	182280	30800000
2	74800000	189800	68400000
1	22101359	116952	22052708
8	92103450	133435	91954966
2	49154526	136435	48953160
7	27095999	142955	27092992
2	160200312	147558	160099665
19	18099026	601604	18058993
19	18099026	601778	18058993
18	3459977	602630	3412008
21	29361895	602751	29298921
23	153798511	300090	153794158
23	80031773	300307	80014752
23	86832601	300608	86148450
2	224585396	603136	224470149
8	52714465	606837	52622457
11	2849109	607542	2445007
16	56520094	606151	56470402
22	50733211	606230	50674390
1	23083690	609132	23019442
2	47634500	609309	47403066
6	83857514	609891	83853265
7	100656447	612458	100643096
10	123139422	613380	123135969
13	113120684	613878	113105772
5	55227314	614086	55218790
1	217137701	602969	216503245
23	152830756	300006	152826993
5	159330486	161561	159314779
5	171410883	164040	171387115
1	158686714	182860	158610497
12	88580472	184745	88492792
6	170572869	600075	170554332
22	25500000	600436	17400000
7	44979104	600642	44962661
11	72239146	600829	72223860
9	78031810	600998	77716096
11	46321408	616215	46277660
1	230714121	106150	230702522
17	63498372	106180	63477060
7	151014587	163729	150991016
22	25500000	115470	15000000
11	121300000	137580	110600000
10	104000000	246560	95300000
6	138300000	180300	130000000
7	77900000	105800	62100000
7	77900000	109200	62100000
8	72000000	128700	45200000
6	36600000	137100	30500000
13	78500000	142700	72800000
23	156040895	314300	148000000
21	46709983	236100	41200000
17	76800000	261800	69100000
1	173000000	605549	125100000
3	188200000	605552	183000000
1	39600000	609122	15900000
1	165500000	610141	160500000
8	72000000	611046	54600000
1	60800000	178300	43700000
12	133275309	179010	35500000
10	104000000	608583	68800000
16	35300000	157700	24200000
6	36600000	161550	30500000
19	12600000	184700	6900000
7	7200000	185100	4500000
1	117200000	193000	106700000
6	36600000	47080	30500000
17	42388501	102582	42313323
7	45723115	103072	45574139
7	45723115	106165	45574139
11	35232401	107269	35139167
12	49958877	107777	49950736
15	51338595	107910	51208056
15	51338595	108730	51208056
9	35809730	108961	35782085
4	81057631	112263	81030707
17	43125363	113705	43044294
10	104085879	113811	104031285
5	179731640	114217	179678645
6	31670069	115441	31665879
8	120373572	120324	120124466
13	20192937	121011	20187469
6	121449726	121014	121435645
19	29824311	123837	29811990
12	52814115	123940	52806548
8	22082526	125305	22048930
16	72027658	126064	72008743
19	48170602	126391	48115444
4	121696993	131230	121667945
19	17245341	132880	17231884
22	29300522	133450	29268253
16	13952347	133520	13920136
6	6320661	134570	6144083
1	152325238	135940	152302164
15	90883457	136950	90868587
16	31194870	137070	31180109
5	161899970	137160	161847190
22	24245141	137168	24219653
3	128493200	137295	128479421
4	157370582	138247	157220583
20	37261816	139190	37251085
6	122433118	140581	122399550
22	20787719	142360	20774112
3	49689522	142408	49683946
6	33080747	142880	33064568
17	48545030	142967	48542654
1	236400000	143025	223900000
14	105743069	147100	105741472
3	52792067	147270	52777598
16	1794907	601489	1790412
4	109703444	601532	109688627
2	55924162	601548	55865966
19	5340811	601576	5205502
1	31938367	601584	31906420
16	2340727	601615	2275880
1	94121147	601691	93992833
18	21111812	601702	20946905
17	39607919	601725	39603767
10	87971929	601728	87863624
10	113730908	601761	113679161
3	57227642	601802	57197837
17	42797065	601844	42779700
5	119542331	601860	119452496
4	68576353	601903	68537183
2	202238596	601912	202206170
12	107093871	601933	106991363
9	128501291	602015	128455154
11	74009236	602044	74000276
11	65558388	602090	65538558
15	23687304	602117	23685399
1	223845971	602143	223779892
10	113167677	602228	112950246
3	58211002	602244	58192256
17	42699992	602346	42679766
15	45402226	602360	45361123
9	128255243	602377	128203378
12	57095475	602381	57089113
4	123403759	602465	123396794
13	80341125	602466	80335975
3	158106419	602504	158095904
15	92468727	602546	92393880
4	84498233	602563	84493282
14	103503830	602678	103385363
10	126388476	602714	126012390
5	45696379	602780	45254947
