#Gene stable ID,Gene start (bp),Gene end (bp),Gene name,Chromosome/scaffold name,Strand,NCBI gene accession
ENSG00000141404,11689264,11885685,GNAL,18,1,GNAL
ENSG00000235718,119338942,119346705,MFRP,11,-1,MFRP
ENSG00000165269,33383179,33402682,AQP7,9,-1,AQP7
ENSG00000165269,33383179,33402682,AQP7,9,-1,LOC112267859
ENSG00000105639,17824780,17848071,JAK3,19,-1,JAK3
ENSG00000234669,29672889,29681605,ZFP57,CHR_HSCHR6_MHC_SSTO_CTG1,-1,ZFP57
ENSG00000226858,29668984,29677737,ZFP57,CHR_HSCHR6_MHC_COX_CTG1,-1,ZFP57
ENSG00000184344,7689784,7695775,GDF3,12,-1,GDF3
ENSG00000107249,3824127,4348392,GLIS3,9,-1,GLIS3
ENSG00000232414,32014113,32017485,CYP21A2,CHR_HSCHR6_MHC_DBB_CTG1,1,CYP21A2
ENSG00000164690,155799980,155812463,SHH,7,-1,SHH
ENSG00000105409,41966582,41997497,ATP1A3,19,-1,ATP1A3
ENSG00000254647,2159779,2161341,INS,11,-1,INS
ENSG00000121905,32885994,32898441,HPCA,1,1,HPCA
ENSG00000004455,33007940,33080996,AK2,1,-1,AK2
ENSG00000272333,35717973,35738878,KMT2B,19,1,KMT2B
ENSG00000231852,32038327,32041644,CYP21A2,6,1,CYP21A2
ENSG00000157017,10285666,10292947,GHRL,3,-1,GHRL
ENSG00000180176,2163929,2171877,TH,11,-1,TH
ENSG00000166311,6390440,6394998,SMPD1,11,1,SMPD1
ENSG00000206510,29672300,29681010,ZFP57,CHR_HSCHR6_MHC_QBL_CTG1,-1,ZFP57
ENSG00000170266,32996609,33097202,GLB1,3,-1,GLB1
ENSG00000104763,18055992,18084998,ASAH1,8,-1,ASAH1
ENSG00000138207,93591687,93601744,RBP4,10,-1,RBP4
ENSG00000186188,93566665,93604480,FFAR4,10,1,FFAR4
ENSG00000135324,84033772,84090881,MRAP2,6,1,MRAP2
ENSG00000128573,114086327,114693772,FOXP2,7,1,FOXP2
ENSG00000112246,100385015,100464929,SIM1,6,-1,SIM1
ENSG00000227858,29672598,29673248,ZFP57,CHR_HSCHR6_MHC_APD_CTG1,-1,ZFP57
ENSG00000134343,26188842,26663289,ANO3,11,1,ANO3
ENSG00000127990,94524204,94656572,SGCE,7,-1,SGCE
ENSG00000168685,35852695,35879603,IL7R,5,1,IL7R
ENSG00000187486,17385859,17389331,KCNJ11,11,-1,KCNJ11
ENSG00000262446,155249852,155260266,GBA,CHR_HSCHR1_2_CTG31,-1,GBA
ENSG00000130283,18868545,18896158,GDF1,19,-1,GDF1
ENSG00000100379,37051736,37063390,KCTD17,22,1,KCTD17
ENSG00000188778,37962990,37966599,ADRB3,8,-1,ADRB3
ENSG00000233151,31986739,31990111,CYP21A2,CHR_HSCHR6_MHC_COX_CTG1,1,CYP21A2
ENSG00000147465,38142700,38150992,STAR,8,-1,STAR
