#OMIM	Chromosome	Start	End
109750	7	43758121	43807341
189800	2	68400000	74800000
176300	18	31591876	31598820
601097	17	15229776	15265325
133430	6	151654147	152129618
607199	1	209785616	209806174
604517	4	23792020	24472904
142410	12	120977682	121002511
134934	4	1793292	1808871
160781	12	110910844	110920578
601851	4	55427900	55547137
605194	2	130592164	130599574
147267	6	33621321	33696561
600144	12	26335351	26833196
209850	7	98400000	107800000
141900	11	5225463	5227070
609312	9	133636362	133659328
191290	11	2163928	2174080
609300	10	102830530	102837412
135600	2	215360439	215436166
139311	16	56191488	56357443
114207	17	39173452	39197668
313700	23	67544020	67730618
314200	23	106032434	106038726
313440	23	47571900	47619856
100740	7	100889993	100896993
602117	15	23685399	23687304
111680	1	25272392	25330444
116890	1	206009263	206023898
480000	24	2786854	2787681
601771	2	38067602	38076180
104650	1	103617331	103625779
137350	9	121201482	121332843
147440	12	102395859	102481838
600641	16	30199254	30204309
149000	8	100500000	105100000
140100	16	72054504	72061055
300401	23	103776505	103792618
161555	12	10441672	10454684
139900	2	74800000	147900000
300162	23	1403138	1453793
607257	11	15966448	16738476
600821	12	63142758	63151200
608272	6	31857658	31862820
192225	1	100719639	100739044
136850	1	241497602	241519754
125645	18	31058839	31102420
191041	19	55132697	55149331
114213	7	134779628	134970728
603620	9	15464065	15511018
100070	19	31900000	58617616
604975	12	23529498	24562700
141800	16	176679	177521
601313	16	2088707	2135897
120140	12	47972966	48006211
177400	3	165772903	165837422
182265	1	152984080	152985813
182500	15	45023194	45077184
176640	20	4686455	4701587
109200	3	161000000	183000000
147138	11	60088260	60098466
152445	1	153259634	153262124
138360	6	52750086	52763474
609708	8	19939252	19967258
120353	11	102789918	102798159
176943	10	121478329	121598457
400005	24	12701230	12860838
276000	7	142740234	142753075
106165	3	148697870	148743002
611262	19	3490823	3500673
604285	2	240868823	240880499
157145	10	46033304	46046268
185430	8	27596916	27614699
138040	5	143277930	143435511
176801	10	71816297	71851250
120810	6	31982056	32002680
147670	19	7112256	7294413
606463	1	155234451	155244626
613665	1	159204874	159206499
600266	2	218381765	218396893
151460	1	198638967	198757475
607273	17	17206945	17237187
171760	1	21508983	21578411
147850	5	132539193	132556863
603372	14	80954988	81146301
613228	4	177430773	177442502
600618	12	11649600	11895385
610860	1	99850076	99924022
147730	10	6010688	6062366
118850	6	87085497	87095105
138359	6	52791370	52803826
138380	1	109668021	109683996
602260	17	8140469	8156359
600024	1	225401501	225428854
314670	23	73820650	73852752
117700	3	149162409	149222007
150330	1	156082545	156140088
601155	19	1065958	1087830
308840	23	153861513	153886172
606351	1	6424775	6461366
107730	2	21001428	21044072
601143	2	74361153	74392086
600044	3	184371934	184379687
138319	14	64939157	64942744
139320	20	58839680	58911195
190685	21	41200000	46709983
602575	9	126613927	126701031
600621	8	79611116	79666161
609595	1	37611349	37634905
123830	17	41966794	41977739
147570	12	68154767	68159739
602216	19	1205777	1228430
607642	17	17681375	17811452
150230	8	116700000	126300000
604716	4	69588416	69653246
608513	14	20343070	20343410
609806	11	119084863	119093548
600068	4	69051263	69112986
138350	1	109687816	109693744
300205	23	48521807	48528715
603426	2	238244037	238290101
147141	19	1609291	1652614
192240	6	43770208	43786486
172400	19	34353329	34402412
163731	12	117208141	117361801
114204	7	81946443	82443955
194050	7	72700000	77900000
155550	12	55954104	55966711
138680	3	186613059	186621317
601266	15	48329990	48343372
606844	2	73385757	73609918
181031	2	233307815	233347065
125265	5	112876384	112922288
612759	2	154000000	158900000
131241	1	41478774	41484698
601398	11	64234583	64239263
146928	2	218125293	218137252
605799	14	102922429	102933596
607690	5	134601148	134632827
600599	19	12884421	12887200
605512	6	79914813	79947552
114190	2	187341963	187448303
601792	3	195514427	195543347
182138	17	30194318	30235696
600835	10	44292087	44385096
305370	23	47582407	47586788
134920	4	122826707	122898235
34720	4	75300000	113200000
152760	8	25419257	25425039
600289	6	36027676	36122963
138275	10	26216306	26304561
613523	8	36700000	45200000
600855	21	37365572	37526357
300798	23	18892297	18984113
603604	22	38111494	38181829
604618	1	161118091	161125445
612990	20	32358061	32439318
176879	11	18727927	18792720
600322	20	10218829	10307419
115441	6	31665879	31670069
601716	20	49113338	49219294
188855	2	85694293	85698853
116806	3	41199421	41240444
607704	9	470290	746105
602013	11	62761579	62766709
176949	18	50559771	50731825
618025	1	149390620	149471832
158105	17	34255284	34257202
173110	3	87259403	87276583
601019	1	43996482	44031461
605363	2	170813209	170861150
142409	7	81699005	81770437
613213	22	42617839	42649391
136131	1	171314130	171342083
605557	1	3069202	3438620
103320	1	1020101	1056118
116952	1	22052708	22101359
187040	1	47216289	47232388
151385	21	34787800	35049333
603935	1	143200000	155100000
610166	3	12897042	13283256
133435	8	91954966	92103450
118445	11	6259837	6272126
138280	2	190880820	190965551
147120	14	105765913	105771404
103270	17	74862496	74872993
618199	10	50799408	50885674
618024	1	148595854	148712498
188230	11	119415475	119424984
602977	16	20309573	20327512
184700	19	6900000	12600000
618023	1	146151907	146229031
600031	1	203216078	203229672
124015	7	75915154	75986854
608005	5	138946723	139198367
176290	14	100726891	100738223
191190	12	6328770	6342075
600495	3	184314494	184335357
194460	7	99966729	99976030
605489	12	110124334	110218792
609576	2	210187922	210225446
600610	15	50275388	50359305
300474	23	30653347	30731461
607300	17	1650628	1684879
300061	23	71239623	71255196
607082	3	50362612	50504243
131240	6	12256462	12297193
165380	1	112701126	112707402
104240	11	126355685	126414640
164020	14	21209135	21269478
173360	7	101127103	101139246
601766	7	73433777	73436119
606434	2	233671897	233773299
194631	1	247121974	247172378
607411	12	108600000	133275309
603867	1	145911347	145918923
606919	19	18868544	18896726
134850	4	154604133	154612807
600609	21	25734971	25772459
600642	7	44962661	44979104
612530	1	214400000	236400000
602221	13	19957405	20091847
106410	4	112706017	113383739
107269	11	35139167	35232401
