#OMIM	Chromosome	Start	End
602851	5	90558795	91164436
170998	22	46150525	46243755
158900	4	182300000	190214555
616902	11	31000000	36400000
140300	8	105100000	145138636
222100	6	30500000	36600000
608173	6	57200000	59800000
606255	6	138300000	160600000
606641	7	130800000	132900000
608742	12	19800000	26300000
609888	10	12200000	17300000
611015	7	107800000	127500000
611572	6	69200000	98900000
611631	9	65000000	99800000
612228	20	33500000	35800000
612514	7	143400000	159345973
612525	16	88700000	90338345
152430	4	106700000	113200000
600669	8	116700000	145138636
107741	19	44905795	44909394
114240	15	42359499	42412316
114840	9	133061980	133071860
118455	8	58490177	58500162
132350	12	130789599	130839273
132811	8	27491142	27597558
134370	1	196651877	196747503
136435	2	48953160	49154526
136538	19	51752025	51770530
137350	9	121201482	121332843
142800	6	29942531	29945869
147760	2	112773924	112784492
601691	1	93992833	94121147
602337	9	91722597	91950227
602358	17	42184059	42185451
602421	7	117480024	117668664
300427	23	5890025	6228877
300573	23	46497724	46545465
276903	11	77128191	77215240
603130	20	3471017	3651117
603273	3	189596745	189897278
603288	12	91050490	91058023
604418	13	20221961	20232394
604459	12	66189213	66254621
604569	7	146116206	148420997
607542	11	2445007	2849109
605317	7	114086326	114693771
605821	16	31527899	31528803
605938	21	37065363	37073157
605956	16	50693586	50733076
606201	4	6260367	6303264
606609	3	48465829	48467644
608792	19	3585477	3593540
610224	9	135691861	135702111
610308	13	31199974	31332275
610928	8	54457934	54460891
611414	19	16479060	16496166
612351	2	88446786	88452692
612373	10	71319252	71363389
612452	17	46027334	46225373
612666	1	205142496	205211701
613409	13	43879177	43893931
613815	6	32038305	32041669
152427	7	150944955	150978320
155541	18	60371061	60372774
164160	7	128241200	128257628
176261	21	34446687	34512209
176310	1	164559183	164886046
176730	11	2159778	2161208
176830	2	25160852	25168850
179605	6	42694508	42723038
180721	11	62613256	62615115
187680	6	18128310	18155168
600024	1	225401501	225428854
600163	3	38548060	38649686
600291	2	24819168	24920236
600509	11	17392497	17476848
600733	13	27919981	27926312
601302	2	68178856	68252531
