#Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	NCBI gene accession
ENSG00000175899	12	9067664	9116229	A2M
ENSG00000129673	17	76453351	76470117	AANAT
ENSG00000183044	16	8674596	8784575	ABAT
ENSG00000165029	9	104781006	104928155	ABCA1
ENSG00000167972	16	2275881	2340746	ABCA3
ENSG00000198691	1	93992834	94121148	ABCA4
ENSG0000013126975051048	75156732	ABCB7
ENSG00000103222	16	15949577	16143074	ABCC1
ENSG00000278183	CHR_HSCHR16_1_CTG1	16034690	16228109	ABCC1
ENSG00000023839	10	99782640	99852594	ABCC2
ENSG00000091262	16	16148928	16223522	ABCC6
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6
ENSG00000101986153724856	153744755	ABCD1
ENSG00000097007	9	130713016	130887675	ABL1
ENSG00000175164	9	133250401	133276024	ABO
ENSG00000281879	CHR_HG2030_PATCH	133255585	133275349	ABO
ENSG00000278741	CHR_HSCHR17_2_CTG2	1003519	1192547	ABR
ENSG00000276016	CHR_HSCHR17_3_CTG2	1003519	1116206	ABR
ENSG00000159842	17	1003518	1229738	ABR
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA
ENSG00000278540	17	37084992	37406836	ACACA
ENSG00000076555	12	109116595	109268226	ACACB
ENSG00000117054	1	75724347	75787575	ACADM
ENSG00000122971	12	120725774	120740008	ACADS
ENSG00000072778	17	7217125	7225266	ACADVL
ENSG00000157766	15	88803436	88875354	ACAN
ENSG00000075239	11	108116695	108147603	ACAT1
ENSG00000159640	17	63477061	63498380	ACE
ENSG00000087085	7	100889994	100896974	ACHE
ENSG00000213088	1	159203307	159206500	ACKR1
ENSG00000100412	22	41469117	41528989	ACO2
ENSG00000161533	17	75941507	75979177	ACOX1
ENSG00000143727	2	264140	278283	ACP1
ENSG00000102575	19	11574660	11579008	ACP5
ENSG00000151726	4	184755595	184826818	ACSL1
ENSG00000068366109624244	109733403	ACSL4
ENSG00000143632	1	229431245	229434098	ACTA1
ENSG00000107796	10	88935074	88991339	ACTA2
ENSG00000075624	7	5527148	5563784	ACTB
ENSG00000159251	15	34790230	34795549	ACTC1
ENSG00000184009	17	81509971	81523847	ACTG1
ENSG00000163017	2	73892314	73919865	ACTG2
ENSG00000136518	3	179562886	179588407	ACTL6A
ENSG00000077522	1	236664141	236764631	ACTN2
ENSG00000130402	19	38647649	38731589	ACTN4
ENSG00000282844	CHR_HG26_PATCH	38647649	38731589	ACTN4
ENSG00000115170	2	157736444	157876330	ACVR1
ENSG00000139567	12	51906908	51923361	ACVRL1
ENSG00000243989	3	51983340	51989197	ACY1
ENSG00000196839	20	44619522	44652233	ADA
ENSG00000137845	15	58588809	58749791	ADAM10
ENSG00000160710	1	154582057	154628013	ADAR
ENSG00000197381	21	45073853	45226560	ADARB1
ENSG00000078295	5	7396138	7830081	ADCY2
ENSG00000138031	2	24819169	24919839	ADCY3
ENSG00000173175	3	123282296	123449758	ADCY5
ENSG00000174233	12	48766194	48789037	ADCY6
ENSG00000121281	16	50246137	50318135	ADCY7
ENSG00000155897	8	130780301	131040909	ADCY8
ENSG00000141433	18	904871	912172	ADCYAP1
ENSG00000078549	7	31052461	31111479	ADCYAP1R1
ENSG00000087274	4	2843857	2930076	ADD1
ENSG00000187758	4	99276369	99291003	ADH1A
ENSG00000196616	4	99304971	99352760	ADH1B
ENSG00000248144	4	99336497	99352746	ADH1C
ENSG00000198099	4	99123657	99157792	ADH4
ENSG00000197894	4	99070978	99088801	ADH5
ENSG00000172955	4	99202638	99219537	ADH6
ENSG00000196344	4	99412261	99435737	ADH7
ENSG00000156110	10	74151202	74709963	ADK
ENSG00000148926	11	10305073	10307397	ADM
ENSG00000163485	1	203090654	203167405	ADORA1
ENSG00000128271	22	24417879	24442357	ADORA2A
ENSG00000120907	8	26748150	26867278	ADRA1A
ENSG00000170214	5	159865080	159973012	ADRA1B
ENSG00000150594	10	111077029	111080907	ADRA2A
ENSG00000274286	2	96112876	96116571	ADRA2B
ENSG00000184160	4	3766348	3768526	ADRA2C
ENSG00000043591	10	114043866	114046904	ADRB1
ENSG00000169252	5	148825245	148828687	ADRB2
ENSG00000188778	8	37962990	37966599	ADRB3
ENSG00000239900	22	40346500	40390463	ADSL
ENSG00000172493	4	86935002	87141054	AFF1
ENSG00000155966148500617	149000663	AFF2
ENSG00000144218	2	99545419	100192428	AFF3
ENSG00000081051	4	73431138	73456174	AFP
ENSG00000038002	4	177430774	177442437	AGA
ENSG00000237405	CHR_HSCHR6_MHC_SSTO_CTG1	32188640	32191996	AGER
ENSG00000204305	6	32180968	32184322	AGER
ENSG00000231268	CHR_HSCHR6_MHC_APD_CTG1	32247977	32251333	AGER
ENSG00000230514	CHR_HSCHR6_MHC_MCF_CTG1	32257394	32260750	AGER
ENSG00000229058	CHR_HSCHR6_MHC_MANN_CTG1	32220356	32223712	AGER
ENSG00000206320	CHR_HSCHR6_MHC_QBL_CTG1	32138576	32141932	AGER
ENSG00000234729	CHR_HSCHR6_MHC_COX_CTG1	32129439	32132795	AGER
ENSG00000162688	1	99850361	99924023	AGL
ENSG00000159723	16	67482571	67483813	AGRP
ENSG00000135744	1	230702523	230714122	AGT
ENSG00000144891	3	148697784	148743008	AGTR1
ENSG00000180772116170744	116174974	AGTR2
ENSG00000172482	2	240868824	240880502	AGXT
ENSG00000101444	20	34280268	34311802	AHCY
ENSG00000106546	7	16916359	17346152	AHR
ENSG00000160224	21	44285838	44298648	AIRE
ENSG00000085662	7	134442356	134459284	AKR1B1
ENSG00000187134	10	4963253	4983283	AKR1C1
ENSG00000151632	10	4987400	5018031	AKR1C2
ENSG00000198610	10	5195462	5218949	AKR1C4
ENSG00000142208	14	104769349	104795751	AKT1
ENSG00000105221	19	40230317	40285536	AKT2
ENSG00000148218	9	113386312	113401290	ALAD
ENSG0000015857855009055	55030977	ALAS2
ENSG00000163631	4	73397114	73421482	ALB
ENSG00000170017	3	105366909	105576900	ALCAM
ENSG00000165092	9	72900671	73080442	ALDH1A1
ENSG00000137124	9	38392702	38398661	ALDH1B1
ENSG00000111275	12	111766887	111817532	ALDH2
ENSG00000108602	17	19737984	19748943	ALDH3A1
ENSG00000072210	17	19648136	19685760	ALDH3A2
ENSG00000006534	11	68008578	68029282	ALDH3B1
ENSG00000132746	11	67662160	67681224	ALDH3B2
ENSG00000164904	5	126531200	126595362	ALDH7A1
ENSG00000136872	9	101420560	101449664	ALDOB
ENSG00000171094	2	29192774	29921586	ALK
ENSG00000108839	17	6996049	7010754	ALOX12
ENSG00000179477	17	8072636	8087716	ALOX12B
ENSG00000161905	17	4630919	4642294	ALOX15
ENSG00000012779	10	45374176	45446119	ALOX5
ENSG00000275565	CHR_HSCHR10_1_CTG2	45390239	45462182	ALOX5
ENSG00000132965	13	30713478	30764426	ALOX5AP
ENSG00000162551	1	21509397	21578410	ALPL
ENSG00000156150	1	110059870	110070672	ALX3
ENSG00000178522	4	70592256	70607288	AMBN
ENSG0000012536311293413	11300761	AMELX
ENSG00000159461	16	56361452	56425545	AMFR
ENSG00000104899	19	2249309	2252073	AMH
ENSG00000135409	12	53423855	53431672	AMHR2
ENSG00000116748	1	114673090	114695618	AMPD1
ENSG00000145020	3	49416778	49422685	AMT
ENSG00000214274	14	20684177	20698971	ANG
ENSG00000154188	8	107249482	107498055	ANGPT1
ENSG00000029534	8	41653220	41896762	ANK1
ENSG00000145362	4	112818032	113384221	ANK2
ENSG00000151150	10	60026298	60733490	ANK3
ENSG000000112018528874	8732137	ANOS1
ENSG00000166825	15	89784895	89815401	ANPEP
ENSG00000135046	9	73151865	73170393	ANXA1
ENSG00000122359	10	80150889	80205572	ANXA11
ENSG00000182718	15	60347134	60402883	ANXA2
ENSG00000138772	4	78551747	78610451	ANXA3
ENSG00000196975	2	69644425	69827112	ANXA4
ENSG00000164111	4	121667946	121696995	ANXA5
ENSG00000138279	10	73375101	73414076	ANXA7
ENSG00000138356	2	200586014	200677064	AOX1
ENSG00000106367	7	101154456	101161596	AP1S1
ENSG00000006125	17	35578046	35726413	AP2B1
ENSG00000120868	12	98645141	98735433	APAF1
ENSG00000034053	15	28884483	29118315	APBA2
ENSG00000276495	CHR_HSCHR15_4_CTG8	29060035	29259075	APBA2
ENSG00000163697	4	40810027	41216714	APBB2
ENSG00000134982	5	112707498	112846239	APC
ENSG00000132703	1	159587826	159588865	APCS
ENSG00000100823	14	20455191	20457772	APEX1
ENSG00000118137	11	116835751	116837950	APOA1
ENSG00000158874	1	161222292	161223631	APOA2
ENSG00000110244	11	116820700	116823304	APOA4
ENSG00000084674	2	21001429	21044073	APOB
ENSG00000234906	19	44945971	44949566	APOC2
ENSG00000110245	11	116829706	116833072	APOC3
ENSG00000189058	3	195568705	195584033	APOD
ENSG00000130203	19	44905791	44909393	APOE
ENSG00000091583	17	66212033	66256525	APOH
ENSG00000142192	21	25880550	26171128	APP
ENSG00000198931	16	88809339	88811937	APRT
ENSG00000240583	7	30911694	30925517	AQP1
ENSG00000167580	12	49950741	49958881	AQP2
ENSG00000165272	9	33441156	33447596	AQP3
ENSG00000171885	18	26852043	26865771	AQP4
ENSG00000161798	12	49961872	49965682	AQP5
ENSG00000165269	9	33383179	33402682	AQP7
ENSG00000103569	15	58138169	58185911	AQP9
ENSG0000016908367544021	67730619	AR
ENSG0000007806147561100	47571920	ARAF
ENSG00000109321	4	74445136	74455005	AREG
ENSG00000143761	1	228082660	228099212	ARF1
ENSG00000118520	6	131470832	131584332	ARG1
ENSG00000081181	14	67619920	67651708	ARG2
ENSG00000175220	11	46677080	46700619	ARHGAP1
ENSG00000160007	19	46860997	47005077	ARHGAP35
ENSG00000141522	17	81867721	81871378	ARHGDIA
ENSG00000143437	1	150809713	150876708	ARNT
ENSG00000133794	11	13276652	13387266	ARNTL
ENSG00000137486	11	75260122	75351705	ARRB1
ENSG00000141480	17	4710596	4721499	ARRB2
ENSG00000100299	22	50622754	50628173	ARSA
ENSG00000113273	5	78777209	78986087	ARSB
ENSG00000099889	22	19969896	20016823	ARVCF
ENSG00000104763	8	18055992	18084998	ASAH1
ENSG00000139352	12	102957674	102960513	ASCL1
ENSG00000183734	11	2268495	2270952	ASCL2
ENSG00000108684	17	33013087	34174964	ASIC2
ENSG00000101440	20	34194569	34269344	ASIP
ENSG00000126522	7	66075800	66094697	ASL
ENSG000001964331615059	1643081	ASMT
ENSG00000070669	7	97851677	97872542	ASNS
ENSG00000108381	17	3472374	3503405	ASPA
ENSG00000198363	8	61500556	61714640	ASPH
ENSG00000130707	9	130444961	130501274	ASS1
ENSG00000152092	1	176857302	177164973	ASTN1
ENSG00000123268	12	50763710	50821162	ATF1
ENSG00000115966	2	175072250	175168382	ATF2
ENSG00000162772	1	212565334	212620777	ATF3
ENSG00000128272	22	39519695	39522685	ATF4
ENSG00000138363	2	215311956	215349773	ATIC
ENSG00000149311	11	108222484	108369102	ATM
ENSG00000111676	12	6924463	6942321	ATN1
ENSG00000172238	4	93828753	93830966	ATOH1
ENSG00000163399	1	116372668	116410261	ATP1A1
ENSG00000018625	1	160115759	160143591	ATP1A2
ENSG00000105409	19	41966582	41997497	ATP1A3
ENSG00000143153	1	169105697	169132722	ATP1B1
ENSG00000129244	17	7646627	7657770	ATP1B2
ENSG00000196296	16	28878405	28904509	ATP2A1
ENSG00000174437	12	110280756	110351093	ATP2A2
ENSG00000074370	17	3923870	3964464	ATP2A3
ENSG00000070961	12	89588049	89709300	ATP2B1
ENSG00000067842153517676	153582939	ATP2B3
ENSG00000152234	18	46080248	46104334	ATP5F1A
ENSG00000124172	20	59025475	59032345	ATP5F1E
ENSG00000198899	MT	8527	9207	ATP6
ENSG00000116039	2	70935900	70965431	ATP6V1B1
ENSG00000147416	8	20197381	20226819	ATP6V1B2
ENSG0000016524077910656	78050395	ATP7A
ENSG00000123191	13	51930436	52012125	ATP7B
ENSG00000175054	3	142449007	142578733	ATR
ENSG0000008522477504878	77786233	ATRX
ENSG00000066427	14	92044496	92106621	ATXN3
ENSG00000148090	9	91213815	91361913	AUH
ENSG00000101200	20	3082556	3084724	AVP
ENSG00000166148	12	63142759	63150942	AVPR1A
ENSG00000198049	1	206106936	206117699	AVPR1B
ENSG00000126895153902531	153907166	AVPR2
ENSG00000167601	19	41219223	41261766	AXL
ENSG00000160862	7	99966720	99976042	AZGP1
ENSG00000166710	15	44711487	44718877	B2M
ENSG00000273686	CHR_HSCHR15_3_CTG8	44711489	44718888	B2M
ENSG00000135454	12	57623409	57633239	B4GALNT1
ENSG00000086062	9	33104082	33167356	B4GALT1
ENSG00000276559	CHR_HSCHR9_1_CTG5	101371093	101381063	BAAT
ENSG00000136881	9	101360417	101383519	BAAT
ENSG00000002330	11	64269830	64284704	BAD
ENSG00000107262	9	33247820	33264720	BAG1
ENSG00000138376	2	214725646	214809683	BARD1
ENSG00000087088	19	48954815	48961798	BAX
ENSG00000174483	11	66510606	66533613	BBS1
ENSG00000125124	16	56466836	56520087	BBS2
ENSG00000140463	15	72686179	72738475	BBS4
ENSG00000105552	19	48795062	48811029	BCAT2
ENSG00000114200	3	165772904	165837462	BCHE
ENSG00000248098	19	41397808	41425002	BCKDHA
ENSG00000083123	6	80106647	80346270	BCKDHB
ENSG00000171791	18	63123346	63320128	BCL2
ENSG00000140379	15	79960892	79971196	BCL2A1
ENSG00000171552	20	31664452	31723989	BCL2L1
ENSG00000113916	3	187721377	187745725	BCL6
ENSG00000116128	1	147541501	147626216	BCL9
ENSG00000186716	22	23179704	23318037	BCR
ENSG00000074582	2	218658764	218663443	BCS1L
ENSG00000100739	14	96256210	96268967	BDKRB1
ENSG00000168398	14	96204679	96244166	BDKRB2
